east_england_rainfall,east_midlands_rainfall
631.050598,664.798340
534.053833,605.397644
430.843994,517.919006
749.815674,679.951904
704.296265,759.185974
654.669128,686.252441
571.564697,634.943787
669.513794,734.716309
488.820160,555.789001
597.718323,639.194641
887.387512,948.014648
582.295471,582.269165
466.310791,545.972595
720.536621,824.534363
731.236511,844.208191
737.397156,787.485657
693.692688,760.242310
750.530518,750.119568
736.139587,909.690796
667.545105,762.302673
784.440186,923.666321
699.307556,826.660889
486.124481,546.255432
685.934082,715.793457
652.350830,790.444153
466.126678,476.734192
615.839661,638.693665
657.467163,699.683594
556.528687,542.182373
664.468018,739.522583
674.632080,622.705872
527.279907,527.824036
651.043518,640.255188
558.673401,645.705566
611.617981,667.757935
558.100098,665.187500
499.910187,567.840454
559.391541,623.122925
602.825195,753.590759
484.842194,609.643616
496.575470,595.463684
785.748962,839.913086
505.212677,584.128479
534.376953,557.645081
633.333374,685.745422
585.307495,696.486816
539.949402,591.052795
675.268860,730.010132
690.854736,736.016663
580.211121,576.945984
775.940552,885.702087
539.767151,616.476257
633.264954,674.672485
692.725159,745.688904
746.470947,771.276489
623.624939,633.606934
669.044800,665.455261
659.530518,760.425964
547.264099,693.206055
344.911530,449.607056
633.666809,744.355225
611.053284,731.107483
724.438660,726.495117
598.939087,647.462891
611.411560,644.308716
745.296143,794.177002
613.601318,699.657959
537.501526,598.557678
675.195801,802.232788
630.606323,776.601074
576.638367,683.070618
470.664520,553.341553
499.784149,563.028992
642.915771,728.207031
675.944946,729.941711
744.219666,732.908386
513.840576,643.673218
753.988403,778.679260
600.616943,690.640259
615.858032,735.148376
594.640564,597.945251
482.209442,547.869751
580.183777,712.855591
547.642395,585.479370
714.925598,800.648193
488.993378,566.884094
603.530090,712.577637
490.356079,601.382935
656.053345,714.534607
731.469849,799.472595
626.632996,621.689941
504.547363,566.968567
679.010010,824.801819
518.595276,578.072266
578.727478,692.077515
580.045471,685.424438
742.893372,806.558411
480.661072,520.363098
769.172668,901.926025
604.804016,630.176941
527.690491,564.828979
571.864075,609.831970
489.618896,513.543091
695.138245,818.437317
683.601868,804.802734
605.159668,675.479370
695.091003,772.935486
616.576660,743.602295
616.356873,667.850098
565.088257,607.475159
479.609009,627.918091
497.492279,607.662842
672.448914,691.328552
554.401550,536.210571
513.315613,554.970337
571.481201,699.872803
614.703613,725.346680
667.588867,751.546143
587.669128,774.659851
652.629639,738.946228
656.039307,698.958313
566.412415,661.405396
636.697266,676.406250
582.679688,660.593933
641.431274,742.552307
703.782532,715.947510
629.048950,675.773254
539.009277,625.796387
483.103485,557.500122
479.459656,523.972900
700.184753,774.780823
718.787476,771.635193
617.135193,735.378601
548.882202,551.352478
457.363403,523.596497
533.526917,660.115723
712.386658,786.937256
669.852051,765.195068
778.220764,875.854065
778.198120,737.629761
706.666626,820.270813
516.458557,557.505310
677.706177,779.614258
530.152222,599.095642
606.447449,681.226868
689.430786,806.640991
685.049377,786.988098
595.550781,674.892883
585.002808,609.845093
453.268158,483.498566
809.867920,954.236023
560.664368,633.424316
735.698181,790.892395
583.385925,624.677307
588.290649,700.078674
603.287537,668.109619
555.784302,640.005310
628.970032,913.199585
695.748596,747.421570
