original_rainfall,three_yr_moving_avg_rainfall
631.050598,NAN,
534.053833,NAN,
430.843994,531.982849,
749.815674,571.571167,
704.296265,628.318665,
654.669128,702.927002,
571.564697,643.510010,
669.513794,631.915894,
488.820160,576.632874,
597.718323,585.350769,
887.387512,657.975342,
582.295471,689.133789,
466.310791,645.331238,
720.536621,589.714294,
731.236511,639.361328,
737.397156,729.723450,
693.692688,720.775452,
750.530518,727.206787,
736.139587,726.787598,
667.545105,718.071777,
784.440186,729.375000,
699.307556,717.097656,
486.124481,656.624084,
685.934082,623.788696,
652.350830,608.136475,
466.126678,601.470520,
615.839661,578.105713,
657.467163,579.811157,
556.528687,609.945190,
664.468018,626.154602,
674.632080,631.876282,
527.279907,622.126648,
651.043518,617.651855,
558.673401,578.998962,
611.617981,607.111633,
558.100098,576.130493,
499.910187,556.542725,
559.391541,539.133972,
602.825195,554.042297,
484.842194,549.019653,
496.575470,528.080933,
785.748962,589.055542,
505.212677,595.845703,
534.376953,608.446228,
633.333374,557.640991,
585.307495,584.339294,
539.949402,586.196777,
675.268860,600.175232,
690.854736,635.357666,
580.211121,648.778259,
775.940552,682.335510,
539.767151,631.972900,
633.264954,649.657532,
692.725159,621.919128,
746.470947,690.820312,
623.624939,687.606995,
669.044800,679.713562,
659.530518,650.733398,
547.264099,625.279785,
344.911530,517.235413,
633.666809,508.614166,
611.053284,529.877197,
724.438660,656.386230,
598.939087,644.810364,
611.411560,644.929749,
745.296143,651.882263,
613.601318,656.769714,
537.501526,632.132996,
675.195801,608.766174,
630.606323,614.434509,
576.638367,627.480164,
470.664520,559.303040,
499.784149,515.695679,
642.915771,537.788147,
675.944946,606.214966,
744.219666,687.693420,
513.840576,644.668396,
753.988403,670.682922,
600.616943,622.815308,
615.858032,656.821106,
594.640564,603.705139,
482.209442,564.236023,
580.183777,552.344543,
547.642395,536.678528,
714.925598,614.250549,
488.993378,583.853821,
603.530090,602.482971,
490.356079,527.626526,
656.053345,583.313171,
731.469849,625.959778,
626.632996,671.385437,
504.547363,620.883362,
679.010010,603.396790,
518.595276,567.384216,
578.727478,592.110901,
580.045471,559.122742,
742.893372,633.888733,
480.661072,601.199951,
769.172668,664.242371,
604.804016,618.212585,
527.690491,633.889099,
571.864075,568.119568,
489.618896,529.724487,
695.138245,585.540344,
683.601868,622.786316,
605.159668,661.299927,
695.091003,661.284180,
616.576660,638.942444,
616.356873,642.674866,
565.088257,599.340637,
479.609009,553.684692,
497.492279,514.063171,
672.448914,549.850098,
554.401550,574.780945,
513.315613,580.055359,
571.481201,546.399475,
614.703613,566.500183,
667.588867,617.924561,
587.669128,623.320557,
652.629639,635.962585,
656.039307,632.112732,
566.412415,625.027100,
636.697266,619.716309,
582.679688,595.263123,
641.431274,620.269409,
703.782532,642.631165,
629.048950,658.087585,
539.009277,623.946960,
483.103485,550.387268,
479.459656,500.524170,
700.184753,554.249268,
718.787476,632.810608,
617.135193,678.702454,
548.882202,628.268250,
457.363403,541.126892,
533.526917,513.257507,
712.386658,567.758972,
669.852051,638.588562,
778.220764,720.153137,
778.198120,742.090332,
706.666626,754.361816,
516.458557,667.107727,
677.706177,633.610474,
530.152222,574.772339,
606.447449,604.768616,
689.430786,608.676819,
685.049377,660.309143,
595.550781,656.677002,
585.002808,621.867615,
453.268158,544.607239,
809.867920,616.046326,
560.664368,607.933533,
735.698181,702.076843,
583.385925,626.582825,
588.290649,635.791565,
603.287537,591.654724,
555.784302,582.454163,
628.970032,596.013916,
695.748596626.834290
